Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Motivation_Level,Internet_Access,Tutoring_Sessions,Family_Income,Teacher_Quality,School_Type,Peer_Influence,Physical_Activity,Learning_Disabilities,Parental_Education_Level,Distance_from_Home,Gender,Exam_Score
21,65.0,Medium,Low,Not Available,7,91,Low,Yes,2,Medium,High,Public,Positive,3,N/A,High School,Far,Female,64
8,99.0,Medium,Medium,No,9,54,--,Yes,2,Low,Medium,Public,Neutral,5,No,Postgraduate,Near,Female,Not Available
12,72.0,Low,N/A,Yes,8,84,Medium,Yes,1,Low,Medium,Public,Positive,N/A,No,High School,Near,Female,63
21,65.0,Low,N/A,Yes,6,98,Low,Yes,1,Medium,High,Public,Negative,4,NULL,High School,Near,Male,64
24,68.0,High,Medium,No,8,56,Low,Yes,3,High,High,Public,Neutral,1,No,College,Near,Male,67
21,84.0,Medium,Medium,Yes,6,52,Low,Yes,1,Medium,High,,Neutral,2,Yes,College,Far,NULL,65
NULL,63.0,Low,High,Unknown,7,94,Medium,Yes,1,Medium,Not Available,Private,Positive,3,No,High School,Moderate,Male,64
18,94.0,Medium,High,Yes,7,82,Medium,Yes,3,Medium,Medium,Private,Negative,2,Yes,College,Near,Male,70
11,98.0,N/A,Medium,Yes,9,82,Low,Yes,1,Medium,Medium,Private,Positive,3,No,Postgraduate,Far,,--
16,70.0,Medium,Medium,Yes,8,--,Medium,Yes,2,N/A,Medium,Public,Positive,3,--,NULL,Moderate,Male,65
17,78.0,Medium,Medium,Yes,N/A,88,Medium,Yes,1,Medium,High,NULL,Positive,3,No,College,Near,Female,68
26,61.0,Medium,Low,Yes,6,70,Medium,Yes,2,Low,Medium,Public,Positive,3,No,High School,N/A,Female,64
22,86.0,Low,Medium,Yes,7,72,Low,Yes,3,Low,High,--,,2,--,High School,Moderate,Male,68
N/A,77.0,Medium,Medium,No,5,57,Medium,Yes,2,--,High,NULL,Neutral,3,NULL,High School,Near,Male,63
22,71.0,Low,Medium,Yes,7,65,Low,Yes,1,Medium,Low,Public,Positive,4,No,College,Moderate,Male,64
18,68.0,High,Medium,No,7,72,Medium,Yes,0,Medium,Medium,Public,Neutral,--,No,College,Near,Male,64
16,86.0,Low,Medium,Yes,8,63,NULL,Yes,2,Medium,Medium,Public,Positive,4,No,High School,Near,Male,67
Unknown,77.0,High,Low,No,8,96,Medium,Yes,N/A,Medium,Medium,Public,Neutral,3,No,,Near,Female,67
26,67.0,Medium,High,Not Available,7,51,Low,Yes,2,High,High,Private,Neutral,4,Yes,Postgraduate,Far,Female,66
26,88.0,Medium,High,Yes,5,79,Medium,Yes,1,N/A,High,Private,Positive,4,No,College,Moderate,Male,72
15,,Unknown,High,No,5,89,Low,No,Not Available,Medium,High,Public,Neutral,2,Yes,High School,Near,Female,65
18,94.0,Medium,Medium,N/A,6,NULL,N/A,Yes,1,Medium,N/A,Public,Positive,4,No,High School,Not Available,Male,71
22,65.0,High,Low,No,8,82,Medium,Yes,2,Medium,High,N/A,Positive,1,No,Postgraduate,Near,Female,66
26,91.0,Medium,Low,Yes,8,71,Medium,Yes,0,Low,Medium,Private,N/A,3,No,High School,Moderate,N/A,68
17,87.0,Medium,Medium,No,7,96,Medium,Yes,1,High,Medium,Public,Negative,5,No,--,NULL,Female,70
19,65.0,Medium,Medium,Yes,10,66,Not Available,Yes,0,Low,Medium,Public,--,3,Unknown,--,Moderate,Male,62
13,88.0,Not Available,High,Yes,9,88,High,Yes,2,Low,High,Private,Negative,4,No,Postgraduate,Far,Not Available,68
13,78.0,Medium,High,Yes,9,96,High,Yes,2,Low,Medium,Public,Neutral,,No,College,Moderate,Male,67
25,98.0,Low,High,NULL,8,56,Unknown,,0,Medium,High,Private,Neutral,3,No,Postgraduate,Near,Male,71
28,66.0,Medium,High,Unknown,8,97,Medium,Yes,0,Medium,Medium,Public,Neutral,2,No,High School,Not Available,Male,68
20,86.0,Medium,Medium,Yes,8,89,Medium,Yes,1,Low,Medium,Public,Negative,Unknown,No,Postgraduate,Near,Male,69
26,75.0,N/A,--,Yes,4,81,High,Yes,3,Medium,High,Private,Positive,2,No,High School,Moderate,Male,70
22,98.0,,High,No,,69,Low,No,1,Low,High,Public,Negative,4,Unknown,High School,Moderate,Female,69
,73.0,Medium,Medium,No,7,95,--,Yes,1,Not Available,Medium,Public,Negative,4,No,College,,Male,65
22,Unknown,Medium,Low,Yes,7,52,Medium,No,3,Medium,Medium,NULL,Positive,3,No,College,Near,N/A,70
29,96.0,Medium,Low,Yes,7,72,Medium,Yes,1,Low,Medium,Public,Positive,3,NULL,High School,Moderate,Male,71
20,71.0,Medium,Medium,Yes,7,88,Medium,Yes,1,--,Low,--,Neutral,4,No,College,Near,Female,65
29,92.0,Low,,No,4,91,Medium,Yes,2,Medium,Medium,Unknown,--,1,No,Postgraduate,Near,Female,72
4,100.0,High,High,Unknown,8,60,High,Yes,0,Medium,High,Private,Positive,4,No,--,Moderate,Male,69
25,70.0,Medium,Medium,No,7,52,N/A,Yes,1,Medium,Medium,Public,Positive,3,No,Postgraduate,Near,Female,66
Unknown,77.0,Low,Medium,Yes,7,90,Medium,Yes,4,Medium,Medium,--,Neutral,3,No,Postgraduate,Not Available,Male,68
18,81.0,High,Low,Yes,8,71,Medium,Yes,0,Medium,Medium,Public,Neutral,3,No,High School,Moderate,Female,
21,72.0,Medium,Medium,Yes,5,,Medium,Yes,1,High,Medium,Public,Neutral,N/A,Yes,College,Moderate,Male,64
8,N/A,Medium,Medium,,7,54,Medium,--,1,High,Medium,Unknown,Positive,3,No,College,Near,Male,60
19,69.0,Medium,High,Yes,7,82,High,Yes,1,Low,Medium,NULL,Negative,2,Not Available,High School,Near,Male,65
22,71.0,NULL,Medium,No,6,79,High,Yes,1,Low,Low,Public,Positive,3,No,High School,Near,Male,66
29,78.0,High,High,Yes,4,93,Low,Yes,5,Medium,High,Public,Neutral,3,N/A,College,Near,Male,74
Unknown,N/A,Medium,Medium,Yes,5,52,High,Yes,Unknown,,Medium,Private,Negative,N/A,No,High School,Far,Female,62
15,95.0,Medium,Medium,No,7,93,Medium,Yes,2,Low,Medium,Public,Positive,4,No,College,Moderate,Unknown,70
17,88.0,Medium,High,Yes,7,,Low,Yes,0,--,Medium,Public,Neutral,3,No,High School,Near,Male,--
25,,Medium,High,Yes,7,72,Medium,Yes,3,Medium,High,Private,Negative,4,NULL,College,Far,Male,N/A
22,86.0,Low,Low,No,6,54,Medium,Not Available,2,Medium,Medium,Public,Neutral,0,No,High School,Moderate,Male,64
17,86.0,Medium,High,No,5,97,High,Yes,3,High,Medium,Public,Neutral,3,No,College,Near,Male,71
23,98.0,Medium,Low,Yes,7,54,Low,Yes,0,Medium,NULL,Public,Negative,3,No,College,N/A,Female,68
21,60.0,High,,No,7,80,Medium,Yes,0,Medium,High,Public,Neutral,4,Yes,College,Near,Male,64
26,70.0,--,Low,Yes,8,75,Medium,Yes,1,Medium,Low,--,Neutral,4,Yes,NULL,Far,Female,63
N/A,97.0,Medium,Medium,Yes,6,,Low,Yes,0,High,Medium,Private,Positive,N/A,No,College,Near,Male,N/A
18,97.0,High,Medium,Yes,4,75,Low,Unknown,0,Low,Medium,Public,Positive,3,No,High School,Moderate,NULL,69
18,89.0,High,Medium,Yes,4,73,Not Available,Yes,3,High,Medium,Private,N/A,2,No,College,Near,Female,100
Unknown,91.0,Medium,Medium,No,6,94,Medium,Yes,3,Medium,Medium,Public,Neutral,3,No,College,Moderate,Male,68
22,64.0,Low,Medium,No,7,Unknown,Low,No,1,Medium,Medium,Public,Negative,3,No,High School,Near,Male,62
22,81.0,Medium,Medium,Yes,Unknown,77,Low,Yes,2,Not Available,Medium,Public,Positive,3,No,Postgraduate,Far,Female,68
20,69.0,N/A,High,Yes,6,73,Medium,Yes,2,Low,Medium,Private,Positive,3,No,High School,Far,Male,66
19,67.0,Low,Medium,No,5,92,High,Yes,0,Medium,Medium,Public,Positive,3,No,College,Near,Male,64
12,92.0,Medium,--,No,4,Not Available,High,Yes,2,Medium,High,Public,Neutral,3,Yes,High School,Moderate,NULL,67
17,65.0,Medium,High,Yes,8,66,Medium,Yes,1,High,High,Public,Neutral,Not Available,Yes,Postgraduate,Moderate,Female,65
18,79.0,Medium,Medium,Unknown,7,79,Medium,Yes,0,Low,Not Available,Private,Neutral,3,No,College,Far,Male,65
15,98.0,High,Medium,No,6,58,High,Yes,0,Low,High,Public,Positive,3,No,College,Near,Male,69
19,67.0,Medium,Medium,No,5,82,High,Yes,1,Low,Low,Private,Negative,3,N/A,High School,Near,,63
22,99.0,Medium,Low,Yes,6,92,Low,Yes,3,Medium,Medium,Public,,4,--,Postgraduate,Moderate,Male,72
31,100.0,--,Medium,No,7,59,Medium,Yes,2,High,High,Public,Positive,Unknown,No,Postgraduate,Moderate,Male,76
21,82.0,Medium,High,Yes,7,66,High,Yes,3,Low,Not Available,Public,Positive,3,Yes,College,Near,Female,69
22,67.0,Medium,Medium,Yes,7,--,High,Yes,3,Low,High,Public,Positive,2,No,Not Available,Moderate,Female,67
20,73.0,High,Medium,Yes,9,92,Medium,Yes,2,Medium,High,Public,Positive,3,No,College,,Male,69
8,Unknown,High,Medium,Yes,6,87,Medium,Yes,0,Low,Medium,Public,Neutral,2,No,High School,Moderate,Male,
20,72.0,Medium,Medium,No,9,66,Medium,Yes,3,Low,High,Private,Positive,3,No,Postgraduate,Near,Male,67
20,--,Low,High,Yes,7,62,High,Yes,NULL,Medium,Medium,Public,Negative,5,Unknown,College,Near,Male,66
35,99.0,High,High,Yes,7,85,Low,Yes,Not Available,Medium,High,Private,Neutral,2,,Postgraduate,Near,Female,79
19,66.0,Medium,Medium,No,8,74,Medium,Yes,N/A,High,Not Available,Public,Neutral,3,No,High School,Unknown,Female,64
22,89.0,High,High,Yes,6,80,,N/A,1,High,High,Public,Positive,3,No,High School,Near,Female,73
20,60.0,Low,High,No,7,82,High,Yes,Not Available,Low,--,Public,Positive,4,Yes,High School,Near,Male,63
13,84.0,Not Available,Medium,No,Unknown,78,Medium,Yes,--,Low,High,Public,Positive,2,No,High School,Near,Male,65
27,--,Low,High,Yes,8,81,Medium,Yes,0,High,Medium,Public,Positive,5,No,High School,Near,Female,73
25,72.0,High,High,Yes,8,94,Low,Yes,--,Low,Medium,Private,Positive,4,No,College,Moderate,Female,70
25,67.0,High,Medium,No,9,93,High,Yes,2,Low,High,Public,Positive,3,Yes,High School,Near,Female,Unknown
15,86.0,Medium,Medium,Yes,7,57,Medium,Yes,1,Medium,Medium,N/A,Negative,3,N/A,College,--,Male,65
,89.0,Low,High,Unknown,9,79,High,Yes,0,Low,Medium,Private,Positive,1,No,College,Moderate,Female,71
12,88.0,Low,Medium,No,6,72,Low,Yes,2,Medium,--,Public,Positive,2,No,College,Far,Male,64
,73.0,Medium,High,Yes,8,64,Medium,Yes,4,High,Medium,Private,Neutral,3,Yes,College,Moderate,Male,68
33,70.0,Medium,Medium,Yes,6,82,Low,N/A,1,Low,High,Public,Neutral,4,No,College,Unknown,Male,69
14,98.0,Medium,Medium,No,7,76,Medium,Yes,0,Medium,,NULL,,4,No,College,Moderate,Female,69
--,97.0,Medium,Medium,No,8,89,NULL,Yes,1,Low,,Public,N/A,4,No,High School,Far,Male,69
Unknown,78.0,,Medium,Yes,10,55,Medium,Yes,N/A,High,Low,N/A,Positive,2,No,College,Near,Male,67
Unknown,94.0,Low,Medium,Yes,8,NULL,Low,Yes,4,Medium,Medium,Public,Neutral,Unknown,No,High School,Far,Female,68
11,78.0,Medium,High,Yes,8,51,Medium,N/A,2,Low,Medium,Public,Neutral,3,No,Postgraduate,Near,Male,--
20,77.0,Medium,Medium,Not Available,6,87,Low,Yes,0,Low,High,Public,Positive,4,No,High School,Near,Female,66
14,66.0,High,Low,No,7,NULL,Medium,Yes,,Low,High,Public,Negative,3,No,High School,Near,Male,63
23,77.0,Medium,Medium,Yes,,79,Medium,Yes,0,Low,High,Public,Neutral,2,No,High School,N/A,Male,NULL
14,N/A,Medium,Medium,No,9,81,Medium,Yes,1,Low,High,Private,Negative,3,No,Postgraduate,Near,Female,--
29,61.0,Medium,High,Yes,7,52,Unknown,Yes,3,Low,Medium,Private,Positive,3,No,College,Near,Female,67
15,78.0,High,High,No,9,75,Low,Yes,1,Low,Medium,,Negative,1,No,High School,Near,Not Available,65
18,Unknown,Low,Medium,Yes,5,76,Medium,Yes,1,N/A,Medium,Public,Neutral,3,No,,Near,Female,68
25,87.0,Medium,Low,No,9,52,High,Yes,1,Low,High,Private,Positive,2,No,High School,N/A,Male,68
13,85.0,,Medium,No,6,89,Medium,Yes,0,High,Medium,Private,Neutral,1,Yes,High School,Near,Male,65
21,96.0,Medium,Medium,No,8,64,High,Yes,2,Medium,NULL,Public,NULL,0,No,College,Near,Male,
28,61.0,Medium,High,No,NULL,86,High,Yes,1,Low,Medium,Private,,3,Yes,Postgraduate,Far,Male,65
10,82.0,Medium,Low,No,8,70,Medium,Yes,3,Low,High,Public,Positive,1,Yes,Postgraduate,Near,Female,64
21,91.0,High,Medium,No,6,100,Medium,Yes,0,High,Medium,Private,Neutral,2,No,Postgraduate,Near,Female,72
22,82.0,Medium,Medium,No,9,61,NULL,Yes,2,Low,Medium,Public,Negative,2,Yes,High School,Near,Female,65
25,73.0,Medium,High,No,8,53,High,No,0,Low,High,Private,Negative,5,No,Postgraduate,N/A,Female,66
13,65.0,Low,High,No,Unknown,99,Medium,Yes,0,Low,Medium,Private,Negative,4,No,High School,Near,Male,61
12,96.0,Low,High,Yes,8,62,--,Yes,2,N/A,High,Public,Negative,3,No,College,Near,Female,68
23,79.0,High,High,Yes,8,82,Unknown,Yes,3,Medium,Medium,Public,Negative,3,Yes,,Moderate,Female,69
22,95.0,Medium,High,Yes,6,69,Medium,Yes,1,Low,Medium,--,Positive,3,No,College,Near,Female,72
22,83.0,Medium,High,Not Available,5,82,Medium,Not Available,2,Low,High,Public,Positive,3,No,Postgraduate,Near,,71
22,87.0,High,High,No,,80,Low,Yes,2,Low,High,Public,Negative,3,No,High School,Near,Female,N/A
16,92.0,Medium,High,Yes,5,85,Low,Yes,1,N/A,Medium,Public,Neutral,2,No,High School,Moderate,Male,68
21,86.0,Low,Medium,Yes,5,51,Medium,Unknown,2,Low,High,Public,Positive,N/A,No,High School,Moderate,Female,NULL
22,76.0,Medium,Medium,Yes,8,92,Medium,Yes,1,Low,High,Public,Neutral,4,No,High School,Near,Female,68
16,81.0,N/A,Medium,Yes,8,74,Medium,Yes,3,Medium,Medium,Public,Positive,2,No,Postgraduate,Near,Female,68
31,92.0,Medium,,Yes,4,76,Medium,Yes,2,Medium,NULL,Public,Positive,4,Yes,High School,Far,Male,72
23,75.0,Low,High,NULL,6,71,Unknown,Yes,0,Medium,Medium,Public,Neutral,2,No,College,Near,Male,65
13,76.0,Medium,High,No,,99,Low,Yes,2,Medium,Medium,Private,Positive,N/A,No,High School,Near,Female,66
24,64.0,Medium,Medium,Yes,8,90,High,Yes,0,Low,High,Public,Negative,3,No,High School,N/A,Male,Not Available
14,97.0,Medium,Medium,Yes,6,,Medium,Yes,2,Medium,N/A,Not Available,Negative,3,Yes,College,Near,N/A,67
25,NULL,Medium,Not Available,No,5,89,Low,Yes,2,Medium,Medium,Public,Neutral,4,No,College,Far,Male,NULL
--,86.0,Medium,,No,7,72,NULL,Yes,1,Medium,High,Public,Positive,4,No,High School,Far,Male,69
15,77.0,Medium,Medium,Yes,8,94,Low,Yes,0,High,High,Public,Positive,3,No,College,Moderate,NULL,66
26,76.0,Medium,High,Yes,6,52,--,Yes,4,High,Low,Public,Neutral,3,No,High School,Near,Male,69
22,87.0,High,Low,Yes,7,68,Medium,No,0,Low,Medium,Public,Neutral,2,No,High School,Not Available,,67
25,63.0,High,N/A,Yes,6,71,Medium,NULL,1,Medium,Low,Private,Not Available,3,No,High School,Near,Male,66
31,84.0,Medium,NULL,Yes,9,Not Available,Medium,Yes,2,Low,Medium,Private,Neutral,3,No,College,Far,Male,71
19,91.0,High,Low,No,6,59,Medium,Yes,5,Medium,High,Public,Neutral,4,No,College,Moderate,Male,70
Not Available,,High,Medium,No,6,64,Medium,,2,Medium,High,,Positive,4,No,N/A,Near,Male,71
,NULL,Medium,Medium,Yes,7,86,Unknown,Yes,1,High,Medium,Private,N/A,3,No,Postgraduate,Near,Male,66
15,96.0,Medium,Medium,Not Available,7,54,High,No,3,Medium,High,Public,Negative,2,No,High School,Not Available,Male,67
20,86.0,High,Low,No,8,60,Medium,Yes,1,Medium,Medium,Public,Neutral,4,Yes,College,Far,--,66
22,95.0,Medium,High,No,9,88,Low,Yes,0,Low,High,Public,Positive,2,No,Postgraduate,,Male,72
22,79.0,Medium,Medium,N/A,9,94,Medium,Yes,1,Medium,Medium,NULL,Positive,,No,High School,Near,Male,68
25,82.0,Medium,Medium,No,6,86,Medium,No,3,Low,High,Public,Positive,3,Not Available,High School,Near,Female,69
20,97.0,Medium,Medium,Yes,7,76,Low,Yes,2,Low,--,N/A,Not Available,3,,Postgraduate,Near,Male,71
29,96.0,Medium,Medium,Yes,9,55,Low,No,0,Medium,Medium,Public,Neutral,2,No,Postgraduate,Far,Female,70
18,78.0,Medium,Medium,No,9,91,High,--,2,High,Low,Public,Neutral,4,No,College,Far,Female,67
36,71.0,Medium,Medium,Yes,6,56,Medium,Yes,2,High,Medium,Public,Positive,2,No,High School,Far,Male,69
N/A,76.0,Low,High,No,8,69,Low,--,2,Medium,Medium,Public,Neutral,1,No,High School,Moderate,,65
15,76.0,N/A,High,No,8,53,Medium,Yes,1,Low,Medium,Public,Neutral,4,No,College,Near,Male,65
Not Available,NULL,Medium,Medium,Yes,8,85,Low,Yes,2,Medium,High,Public,Neutral,4,No,High School,Near,Male,64
Not Available,--,Low,Low,Yes,9,75,Low,Yes,1,Low,NULL,Public,Negative,2,No,College,Near,Male,63
19,94.0,Low,Medium,Yes,5,95,Medium,Yes,3,Low,Low,Public,Positive,2,No,High School,Moderate,Male,69
24,63.0,Unknown,Low,Not Available,Unknown,57,Medium,Not Available,1,Low,High,Private,Neutral,5,No,--,Near,Female,64
23,87.0,High,High,Yes,8,91,High,Yes,0,High,Medium,Private,Positive,3,No,High School,Moderate,Male,72
20,67.0,Low,Medium,Yes,7,Not Available,Medium,Yes,,Medium,Medium,Public,Neutral,4,No,High School,Near,Male,63
15,74.0,Low,High,Yes,4,68,Low,Yes,3,Low,Medium,Public,Positive,3,N/A,High School,Near,Female,Not Available
11,62.0,Medium,High,Yes,5,Unknown,NULL,Yes,3,High,--,Private,Neutral,4,No,College,Moderate,Male,64
17,71.0,Medium,Medium,Yes,8,90,Medium,Yes,5,Medium,Medium,Public,Positive,1,No,Postgraduate,N/A,N/A,67
Not Available,91.0,Medium,Medium,No,--,72,Low,Unknown,2,Medium,High,Public,Positive,0,No,--,Near,Male,71
21,N/A,Medium,Medium,No,5,62,--,Yes,1,Medium,Low,Public,Positive,4,No,High School,Near,Male,70
Not Available,69.0,Medium,Low,Yes,9,96,Low,Yes,0,High,Medium,Private,Neutral,4,No,High School,Far,NULL,Unknown
21,79.0,Medium,High,Yes,7,66,Low,Yes,2,Low,Medium,Public,Negative,4,No,College,Moderate,Male,NULL
22,79.0,Unknown,Medium,,Unknown,100,Medium,Yes,4,High,High,Public,Negative,3,No,College,Near,Male,72
15,95.0,Low,N/A,Yes,6,88,Low,Yes,1,Low,Medium,,Negative,5,No,High School,Near,Male,66
21,91.0,Medium,High,Yes,5,84,Medium,Unknown,1,High,Low,Unknown,Neutral,2,No,High School,Near,Male,70
20,81.0,--,Medium,Yes,Unknown,51,High,No,3,Medium,Medium,Public,Neutral,4,Yes,High School,Near,Male,67
13,87.0,High,Low,Yes,4,--,Medium,Yes,2,Medium,High,Public,Neutral,3,No,High School,Moderate,Female,67
22,94.0,Low,Medium,Yes,7,75,High,Yes,2,High,Medium,Public,Neutral,2,No,College,Near,Female,71
,60.0,NULL,Medium,Yes,8,69,Medium,Yes,1,--,Medium,Private,NULL,4,No,College,Near,Male,66
Unknown,76.0,Not Available,Medium,Yes,5,57,Medium,Yes,1,Medium,Medium,Public,Positive,4,No,High School,Near,Male,68
26,96.0,Medium,Medium,Yes,7,68,Unknown,Yes,3,High,Medium,Private,Positive,3,--,College,Near,Female,74
12,Not Available,Medium,Low,Yes,--,--,Medium,No,1,High,Medium,Public,Neutral,3,No,High School,N/A,Male,64
14,82.0,Medium,Medium,No,8,65,Medium,NULL,1,Low,Medium,Unknown,Positive,3,No,Not Available,Near,Male,65
23,81.0,Low,Medium,Yes,N/A,54,Medium,Yes,1,Low,Unknown,Public,Neutral,3,Unknown,College,Near,Male,66
23,74.0,Medium,High,N/A,8,88,Low,Yes,0,Medium,Unknown,Public,Unknown,3,Yes,High School,Near,Male,66
23,81.0,Medium,Low,No,Not Available,84,Medium,Yes,Not Available,Medium,Medium,Public,Positive,5,No,High School,--,Male,68
N/A,86.0,High,Medium,Yes,7,97,Medium,N/A,2,Medium,High,Unknown,Positive,1,No,High School,Near,Female,N/A
23,,Medium,High,Yes,6,69,Low,Yes,1,Medium,Medium,Private,Positive,2,No,High School,Moderate,Female,67
Unknown,89.0,Medium,High,Yes,6,Not Available,Medium,Yes,3,Medium,Medium,Private,Positive,3,NULL,High School,Near,Male,74
26,Not Available,Medium,High,No,5,79,High,Yes,1,--,High,Public,Positive,2,No,Postgraduate,Near,Male,74
24,66.0,Medium,Low,No,9,82,Low,Yes,1,Medium,Medium,Public,Neutral,2,Yes,High School,Near,Female,62
NULL,,High,Medium,Yes,5,77,Medium,No,2,Medium,Medium,Public,Neutral,4,Unknown,High School,NULL,Male,66
--,76.0,Medium,Medium,Yes,5,89,High,Yes,3,Medium,High,Public,Neutral,3,No,NULL,Far,Female,69
15,87.0,Medium,High,Yes,10,52,Medium,Yes,2,--,High,Private,Positive,3,Unknown,College,Near,Male,68
19,70.0,Medium,Low,No,7,54,High,Yes,0,Medium,Medium,Unknown,Positive,2,Yes,High School,Moderate,Male,89
17,86.0,High,Low,No,,55,Low,No,2,High,Medium,Private,Neutral,4,No,College,Near,,66
20,95.0,Low,Medium,Yes,7,64,Low,No,2,Medium,High,Public,Neutral,3,No,High School,Near,Female,68
34,77.0,Medium,Low,Yes,7,80,Low,Yes,0,Medium,Medium,Public,Positive,3,No,High School,Near,Male,NULL
9,,Medium,Medium,Yes,4,82,High,No,0,Low,Medium,Public,Positive,4,No,College,Near,Male,67
24,100.0,High,High,Yes,6,86,Low,Yes,2,Medium,Medium,Private,Positive,5,No,High School,Near,Male,75
10,64.0,Medium,High,No,7,64,Not Available,Yes,0,Medium,Medium,Public,Positive,4,Yes,High School,Moderate,Female,60
17,69.0,High,Medium,Yes,9,83,Medium,Yes,2,Medium,High,Private,Positive,4,Yes,College,Moderate,Female,66
27,Unknown,Low,High,Yes,7,56,Low,Yes,1,High,Medium,Private,Positive,3,No,College,Near,Female,73
20,98.0,Medium,Low,No,7,50,Not Available,Yes,1,Medium,High,Private,Neutral,2,No,High School,Near,--,68
